song_id,song_name,popularity,danceability,energy,valence,acousticness,speechiness,artists,is_billboard
3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",86,0.717,0.653,0.412,0.229,0.0658,Ariana Grande,False
5p7ujcrUXASCNwRaWNHR1C,Without Me,87,0.752,0.488,0.533,0.297,0.0705,Halsey,False
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,85,0.834,0.73,0.446,0.00513,0.222,Travis Scott,True
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,92,0.76,0.479,0.913,0.556,0.0466,"Post Malone, Swae Lee",True
1rqqCSm0Qe4I9rUvWncaom,High Hopes,86,0.579,0.904,0.681,0.193,0.0618,Panic! At The Disco,True
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,63,0.335,0.625,0.346,0.164,0.0386,Mariah Carey,True
5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,52,0.24,0.598,0.776,0.766,0.037,Andy Williams,True
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,53,0.589,0.472,0.898,0.614,0.0502,Brenda Lee,False
0MMSmg7zyo6pOKZrfHUOqu,A Holly Jolly Christmas,3,0.665,0.398,0.864,0.685,0.03,Burl Ives,False
6Z924AupOiJLdnAKH6UgCu,Jingle Bell Rock,51,0.757,0.428,0.816,0.651,0.036,Bobby Helms,False
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,81,0.729,0.625,0.261,0.194,0.0315,Sheck Wes,True
4PS1e8f2LvuTFgUs1Cn3ON,The Christmas Song (Merry Christmas To You),48,0.319,0.21,0.209,0.92,0.0341,Nat King Cole,True
4OafepJy2teCjYJbvFE60J,breathin,78,0.568,0.656,0.364,0.0211,0.0433,Ariana Grande,True
55S2PQgSMYAhgoTCcGCDfw,Youngblood,77,0.596,0.854,0.152,0.0169,0.463,5 Seconds of Summer,False
7dt6x5M1jzdTEt8oCbisTK,Better Now,86,0.68,0.563,0.374,0.354,0.0454,Post Malone,True
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,85,0.511,0.566,0.218,0.349,0.2,Juice WRLD,True
39LmTF9RgyakzSYX8txrow,imagine,76,0.729,0.475,0.371,0.378,0.0364,Ariana Grande,False
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,55,0.735,0.478,0.947,0.189,0.0293,Wham!,False
1dtIaSlyrLI04sqYa8nLyN,Rudolph the Red-Nosed Reindeer,36,0.632,0.159,0.644,0.883,0.0492,Gene Autry,True
6CTWathupIiDs7U4InHnDA,Trip,77,0.477,0.61,0.358,0.225,0.144,Ella Mai,False
2GGMabyHXnJmjY6CXhhB2e,Money,79,0.95,0.59,0.219,0.00534,0.29,Cardi B,False
14mHfNsSHN0FbLftyjrV9g,Leave Me Alone,80,0.792,0.743,0.742,0.107,0.0851,Flipp Dinero,False
2uFaJJtFpPDc5Pa95XzTvg,Let It Snow! Let It Snow! Let It Snow!,47,0.452,0.24,0.701,0.912,0.0351,Dean Martin,False
5ASM6Qjiav2xPe7gRkQMsQ,Sleigh Ride,46,0.528,0.772,0.852,0.403,0.0288,The Ronettes,True
7taXf5odg9xCAZERYfyOkS,Feliz Navidad,46,0.485,0.857,0.963,0.534,0.0442,José Feliciano,False
25leEEaz1gIpp7o21Fqyjo,Here Comes Santa Claus (Right Down Santa Claus Lane),41,0.834,0.372,0.976,0.799,0.0358,Gene Autry,True
3GJ4hzg4lrGwU51Y3VARbF,Speechless,74,0.616,0.438,0.386,0.356,0.0298,Dan + Shay,True
0U2pP3HpalMInP1lOhECsw,Love Lies,2,0.731,0.587,0.373,0.478,0.0604,2018 DJ Grime,False
4T3fNx3CgwDRRYgmFCbD4J,Better,75,0.442,0.585,0.116,0.0984,0.0964,Khalid,False
